company,title,salary,location,industry,detail_url,hiring_org_url
阪急阪神マーケティングソリューションズ株式会社,WEBデザイナー　フレックス制／平均残業20h程度／阪急阪神東宝G案件｜Photoshop 年収 420万円 ～,420 万円 〜,大阪市北区中崎西２－４－１２ 梅田センタービル２６Ｆ,広告・デザイン・イベント ECサイト,https://se-navi.jp/jobs/1850,https://hhms.co.jp/
株式会社アイモバイル,【フレックス勤務／残業10h未満／17時退社可】東証プライム上場のIT企業を支える社内SE【年間休日125日以上／土日祝休み＋有休消化率 90%以上】案件｜ 年収 ～ 700万円,500 万円 〜 700 万円,東京都 渋谷区桜丘町22－14 NESビルN棟 6F,ソフトウェア・情報処理,https://se-navi.jp/jobs/92252,https://www.i-mobile.co.jp/
株式会社SBI証券,【東京】社内SE　システム運用管理（SBIシンプレクス・ソリューションズ出向）案件｜AWS 年収 ～ 800万円,400 万円 〜 800 万円,東京都 六本木三丁目１番１号,インターネット・通信,https://se-navi.jp/jobs/92190,https://www.sbisec.co.jp/ETGate
株式会社SBI証券,【東京】社内SE　プロジェクトマネージャー（SBIシンプレクス・ソリューションズ出向）案件｜社内SE 年収 600万円 ～,600 万円 〜,六本木三丁目１番１号,インターネット・通信,https://se-navi.jp/jobs/92197,https://www.sbisec.co.jp/ETGate
株式会社SBI証券,AWS Solution Architect (Cybersecurity)（SBIシンプレクス・ソリューションズ出向）案件｜Python 年収 ～ 1000万円,600 万円 〜 1000 万円,東京都 六本木,インターネット・通信,https://se-navi.jp/jobs/92166,https://www.sbisec.co.jp/ETGate
株式会社SBI証券,AWS Solution Architect（SBIシンプレクス・ソリューションズ出向）案件｜Python 年収 ～ 700万円,400 万円 〜 700 万円,東京都 六本木,インターネット・通信,https://se-navi.jp/jobs/92157,https://www.sbisec.co.jp/ETGate
株式会社SBI証券,システム運用管理/AWS設計・構築（SBIシンプレクス・ソリューションズ出向）案件｜AWS 年収 400万円 ～,400 万円 〜,六本木三丁目１番１号,インターネット・通信,https://se-navi.jp/jobs/92188,https://www.sbisec.co.jp/ETGate
株式会社SBI証券,Linux System Engineer（SBIシンプレクス・ソリューションズ出向）案件｜AWS 年収 ～ 800万円,600 万円 〜 800 万円,東京都 六本木,インターネット・通信,https://se-navi.jp/jobs/92173,https://www.sbisec.co.jp/ETGate
株式会社UPSIDER,Corporate System（IT help-desk)【正社員 / Card / Tech】案件｜Windows,現在年収考慮,東京都,ソフトウェア・情報処理 金融（その他）,https://se-navi.jp/jobs/92172,https://up-sider.com/?m=listing_gb_01_00001&amp;utm_source=google&amp;utm_medium=cpc&amp;utm_campaign=brand&amp;utm_term=upsider&amp;argument=dvTTXsRA&amp;dmai=a65b20fa384d77&amp;gad_source=1&amp;gclid=EAIaIQobChMI9oLTgYfIhQMVOSR7Bx2OBgecEAAYASAAEgLCivD_BwE
株式会社Skillnote,インフラエンジニア【マネージャー】案件｜ 年収 750万円 ～,750 万円 〜,東京都 千代田区神田錦町2-2-1 KANDA SQUARE 11階,ソフトウェア・情報処理,https://se-navi.jp/jobs/92179,https://www.skillnote.jp/
株式会社Skillnote,UXエンジニア案件｜ 年収 600万円 ～,600 万円 〜,千代田区神田錦町2-2-1 KANDA SQUARE 11階,ソフトウェア・情報処理,https://se-navi.jp/jobs/4177,https://www.skillnote.jp/
株式会社Skillnote,QAリーダー/リーダー候補案件｜ 年収 600万円 ～,600 万円 〜,千代田区神田錦町2-2-1 KANDA SQUARE 11階,ソフトウェア・情報処理,https://se-navi.jp/jobs/46086,https://www.skillnote.jp/
株式会社Skillnote,バックエンドエンジニア(Java/Kotlin)案件｜ 年収 400万円 ～,400 万円 〜,千代田区神田錦町2-2-1 KANDA SQUARE 11階,ソフトウェア・情報処理,https://se-navi.jp/jobs/54568,https://www.skillnote.jp/
三井金属ユアソフト株式会社,【埼玉県上尾市】三井金属総合研究所でネットワークエンジニア･情シス担当として活躍！（テレワーク･出社のハイブリットワーク）案件｜ 年収 ～ 778万円,452 万円 〜 778 万円,埼玉県 上尾市原市1333-2 三井金属鉱業(株)総合研究所,SIer,https://se-navi.jp/jobs/92751,https://www.mitsui-kinzoku.co.jp/group/yoursoft/company/
三井金属ユアソフト株式会社,【活用推進チームマネージャー】業務システム導入で三井金属グループ全体のDXを進めるマネジメントポジション！（フルリモート勤務可能）案件｜ 年収 ～ 1000万円,800 万円 〜 1000 万円,東京都 品川区大崎1-11-1ゲートシティ大崎ウエストタワー20階,SIer,https://se-navi.jp/jobs/92728,https://www.mitsui-kinzoku.co.jp/group/yoursoft/company/
三井金属ユアソフト株式会社,【岐阜県飛騨市】三井金属グループ全体の安全を守る セキュリティエンジニアとして活躍！案件｜ 年収 452万円 ～,452 万円 〜,岐阜県 飛騨市神岡町東雲785,SIer,https://se-navi.jp/jobs/92554,https://www.mitsui-kinzoku.co.jp/group/yoursoft/company/
三井金属ユアソフト株式会社,【岐阜県飛騨市】【フルリモート】国内外約100拠点！グローバルにインフラエンジニアとして活躍！案件｜ 年収 ～ 778万円,452 万円 〜 778 万円,フルリモート勤務可,SIer,https://se-navi.jp/jobs/92456,https://www.mitsui-kinzoku.co.jp/group/yoursoft/company/
三井金属ユアソフト株式会社,【ガバナンスチームマネージャー】三井金属グループ全体のガバナンス統制をリードするマネジメントポジション！（フルリモート勤務可能）案件｜ 年収 ～ 1000万円,800 万円 〜 1000 万円,岐阜県 飛騨市神岡町東雲785,SIer,https://se-navi.jp/jobs/92815,https://www.mitsui-kinzoku.co.jp/group/yoursoft/company/
